query,rank,sku,score,texture_sim,color_sim
1.jpg,1,6.jpg,0.6971,0.9739,0.4706
1.jpg,2,9.jpg,0.6264,0.9762,0.3402
1.jpg,3,11.jpg,0.6162,0.9662,0.3298
1.jpg,4,5.jpg,0.6103,0.9699,0.3162
1.jpg,5,2.jpg,0.5809,0.9559,0.2741
1.jpg,6,19.jpg,0.5807,0.9649,0.2663
1.jpg,7,7.jpg,0.5779,0.9731,0.2545
1.jpg,8,8.jpg,0.5738,0.9725,0.2476
1.jpg,9,18.jpg,0.5591,0.9667,0.2256
1.jpg,10,3.jpg,0.527,0.9605,0.1723
1.jpg,11,13.jpg,0.5034,0.9792,0.1142
1.jpg,12,1.jpg,0.4887,0.9682,0.0965
1.jpg,13,16.jpg,0.4847,0.9658,0.0911
1.jpg,14,15.jpg,0.482,0.9477,0.101
1.jpg,15,4.jpg,0.4819,0.9618,0.0892
1.jpg,16,10.jpg,0.4692,0.9621,0.0659
1.jpg,17,14.jpg,0.4444,0.9668,0.0169
1.jpg,18,20.jpg,0.4412,0.9534,0.0222
1.jpg,19,17.jpg,0.4401,0.9594,0.0153
1.jpg,20,12.jpg,0.4385,0.9512,0.019
2.jpg,1,16.jpg,0.7325,0.959,0.5473
2.jpg,2,19.jpg,0.7251,0.9425,0.5472
2.jpg,3,8.jpg,0.7184,0.9501,0.5289
2.jpg,4,7.jpg,0.7134,0.949,0.5206
2.jpg,5,18.jpg,0.6939,0.956,0.4794
2.jpg,6,10.jpg,0.6398,0.9462,0.389
2.jpg,7,9.jpg,0.6019,0.9491,0.3178
2.jpg,8,6.jpg,0.595,0.9487,0.3056
2.jpg,9,11.jpg,0.5854,0.9474,0.2892
2.jpg,10,13.jpg,0.5759,0.9594,0.2621
2.jpg,11,20.jpg,0.547,0.9383,0.2269
2.jpg,12,2.jpg,0.5309,0.9212,0.2115
2.jpg,13,14.jpg,0.5201,0.951,0.1675
2.jpg,14,12.jpg,0.5194,0.9369,0.1779
2.jpg,15,3.jpg,0.5176,0.9269,0.1828
2.jpg,16,4.jpg,0.5086,0.933,0.1615
2.jpg,17,15.jpg,0.5011,0.9128,0.1642
2.jpg,18,17.jpg,0.494,0.9476,0.1228
2.jpg,19,5.jpg,0.4547,0.9382,0.0591
2.jpg,20,1.jpg,0.4494,0.9414,0.0469
3.jpg,1,11.jpg,0.6963,0.965,0.4764
3.jpg,2,16.jpg,0.6777,0.9615,0.4455
3.jpg,3,19.jpg,0.665,0.9594,0.4241
3.jpg,4,7.jpg,0.6617,0.9667,0.4122
3.jpg,5,18.jpg,0.6563,0.9627,0.4056
3.jpg,6,2.jpg,0.6545,0.9487,0.4138
3.jpg,7,6.jpg,0.6489,0.968,0.3879
3.jpg,8,8.jpg,0.6217,0.9676,0.3388
3.jpg,9,10.jpg,0.599,0.9597,0.3039
3.jpg,10,3.jpg,0.5872,0.9526,0.2882
3.jpg,11,15.jpg,0.568,0.9413,0.2625
3.jpg,12,4.jpg,0.5668,0.9571,0.2475
3.jpg,13,5.jpg,0.565,0.9602,0.2417
3.jpg,14,1.jpg,0.5533,0.9605,0.2202
3.jpg,15,9.jpg,0.5376,0.9686,0.1849
3.jpg,16,13.jpg,0.5323,0.971,0.1734
3.jpg,17,14.jpg,0.5305,0.9639,0.1759
3.jpg,18,17.jpg,0.5258,0.9561,0.1737
3.jpg,19,20.jpg,0.5001,0.9532,0.1295
3.jpg,20,12.jpg,0.4604,0.9505,0.0594
4.jpg,1,14.jpg,0.7538,0.9723,0.5751
4.jpg,2,18.jpg,0.7404,0.9696,0.5528
4.jpg,3,16.jpg,0.7226,0.9768,0.5146
4.jpg,4,10.jpg,0.7015,0.9727,0.4796
4.jpg,5,7.jpg,0.6795,0.9737,0.4388
4.jpg,6,4.jpg,0.657,0.9661,0.4042
4.jpg,7,19.jpg,0.631,0.9639,0.3586
4.jpg,8,8.jpg,0.6104,0.9693,0.3167
4.jpg,9,6.jpg,0.5783,0.9705,0.2574
4.jpg,10,11.jpg,0.5724,0.9607,0.2546
4.jpg,11,2.jpg,0.5645,0.9572,0.2431
4.jpg,12,15.jpg,0.5547,0.9554,0.2269
4.jpg,13,17.jpg,0.5367,0.9673,0.1844
4.jpg,14,20.jpg,0.5354,0.9644,0.1843
4.jpg,15,9.jpg,0.5296,0.9713,0.1682
4.jpg,16,1.jpg,0.4978,0.9685,0.1126
4.jpg,17,12.jpg,0.4805,0.9659,0.0834
4.jpg,18,13.jpg,0.4656,0.9712,0.0518
4.jpg,19,5.jpg,0.4513,0.9604,0.0347
4.jpg,20,3.jpg,0.4422,0.9504,0.0264
5.jpg,1,2.jpg,0.8223,0.9466,0.7206
5.jpg,2,1.jpg,0.804,0.9673,0.6703
5.jpg,3,4.jpg,0.7969,0.9607,0.6628
5.jpg,4,15.jpg,0.7665,0.941,0.6238
5.jpg,5,11.jpg,0.7153,0.969,0.5078
5.jpg,6,14.jpg,0.6628,0.9738,0.4084
5.jpg,7,17.jpg,0.6286,0.9704,0.349
5.jpg,8,6.jpg,0.6275,0.9726,0.3451
5.jpg,9,18.jpg,0.6263,0.9768,0.3396
5.jpg,10,5.jpg,0.5715,0.9639,0.2504
5.jpg,11,16.jpg,0.5647,0.9749,0.2291
5.jpg,12,7.jpg,0.5529,0.9706,0.2112
5.jpg,13,10.jpg,0.5438,0.9662,0.1982
5.jpg,14,20.jpg,0.5213,0.9593,0.163
5.jpg,15,8.jpg,0.5037,0.9718,0.1207
5.jpg,16,19.jpg,0.4948,0.9664,0.1091
5.jpg,17,9.jpg,0.4929,0.9715,0.1013
5.jpg,18,3.jpg,0.473,0.9525,0.0808
5.jpg,19,13.jpg,0.47,0.979,0.0535
5.jpg,20,12.jpg,0.461,0.9581,0.0542
